,observation_hour,speed,rpm,acceleration,throttle_position,engine_temperature,engine_load_value,heart_rate,current_weather,visibility,precipitation,accidents_onsite,design_speed,accidents_time,risk_level
0,15,0.0,879.0,0.0,21.2,108.0,24.3,77.0,9,16.1,2.4,9.0,70.0,0.0,1
1,15,0.0,879.0,0.0,21.2,108.0,24.3,77.0,9,16.1,2.4,9.0,70.0,0.0,1
2,15,0.0,879.0,0.0,21.2,108.0,24.3,77.0,9,16.1,2.4,9.0,70.0,0.0,1
3,15,0.0,888.0,0.0,21.2,108.0,24.3,77.0,9,16.1,2.4,9.0,70.0,0.0,1
4,15,0.0,889.0,0.0,21.2,108.0,24.3,80.0,9,16.1,2.4,9.0,70.0,0.0,1
5,15,0.0,881.0,0.0,21.2,108.0,24.7,80.0,9,16.1,2.4,9.0,70.0,0.0,1
6,15,0.0,884.0,0.0,21.2,108.0,24.7,80.0,9,16.1,2.4,9.0,70.0,0.0,1
7,15,0.0,894.0,0.0,22.0,109.0,25.1,80.0,9,16.1,2.4,9.0,70.0,0.0,1
8,15,0.0,900.0,0.0,21.6,109.0,25.1,76.0,9,16.1,2.4,9.0,70.0,0.0,1
9,15,0.0,889.0,0.0,21.2,109.0,24.7,76.0,9,16.1,2.4,9.0,70.0,0.0,1
10,15,0.0,885.0,0.0,21.2,109.0,24.7,73.0,9,16.1,2.4,9.0,70.0,0.0,1
11,15,0.0,891.0,0.0,21.6,109.0,24.7,73.0,9,16.1,2.4,9.0,70.0,0.0,1
12,15,0.0,897.0,0.0,21.6,109.0,24.7,73.0,9,16.1,2.4,9.0,70.0,0.0,1
13,15,0.0,898.0,0.0,21.6,109.0,24.7,76.0,9,16.1,2.4,9.0,70.0,0.0,1
14,15,0.0,881.0,0.0,21.2,108.0,24.7,76.0,9,16.1,2.4,9.0,70.0,0.0,1
15,15,0.0,899.0,0.0,21.6,108.0,24.7,76.0,9,16.1,2.4,9.0,70.0,0.0,1
16,15,0.0,887.0,0.0,21.2,108.0,24.7,76.0,9,16.1,2.4,9.0,70.0,0.0,1
17,15,0.0,892.0,0.0,21.2,108.0,24.3,76.0,9,16.1,2.4,9.0,70.0,0.0,1
18,15,0.0,892.0,0.0,21.2,108.0,24.7,76.0,9,16.1,2.4,9.0,70.0,0.0,1
19,15,0.0,901.0,0.0,21.2,108.0,24.7,76.0,9,16.1,2.4,9.0,70.0,0.0,1
20,15,0.0,881.0,0.0,21.2,108.0,24.3,79.0,9,16.1,2.4,9.0,70.0,0.0,1
21,15,0.0,884.0,0.0,21.2,108.0,24.3,79.0,9,16.1,2.4,9.0,70.0,0.0,1
22,15,0.0,891.0,0.0,21.6,107.0,24.7,79.0,9,16.1,2.4,9.0,70.0,0.0,1
23,15,0.0,896.0,0.0,21.6,107.0,24.7,79.0,9,16.1,2.4,9.0,70.0,0.0,1
24,15,0.0,887.0,0.0,21.2,106.0,24.7,79.0,9,16.1,2.4,9.0,70.0,0.0,1
25,15,0.0,895.0,0.0,21.6,106.0,24.7,79.0,9,16.1,2.4,9.0,70.0,0.0,1
26,15,0.0,893.0,0.0,21.6,105.0,24.7,82.0,9,16.1,2.4,9.0,70.0,0.0,2
27,15,0.0,894.0,0.0,21.6,105.0,24.7,82.0,9,16.1,2.4,9.0,70.0,0.0,2
28,15,0.0,891.0,0.0,21.2,105.0,24.3,82.0,9,16.1,2.4,9.0,70.0,0.0,2
